object-id,district,timeperiod,total-tender-awarded-value,max-rain,mean-rain,count,sum-rain,stname,dtname,st-area-sh,st-length-,remarks,dist-lgd,state-lgd,subdt-lgd,ac-no,st-length(shape),count-bhuvan-pixels,count-inundated-pixels,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,sum-population,stcode11,dtcode11,sub-district-code,sdtname,st-area(shape),urban-hhd,urban-electricity,urban-tele,urban-hhd-pipe,urban-no-sanitation,rural-hhd,total-hhd,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,total-hhd.1,exposure,flood-hazard,government-response,vulnerability,financial-year,total-tender-awarded-value-fy-cumsum,topsis-score,risk-score
09-154-00805,Sitapur,2021_04,0.0,0.0,0.0,881.0,0.19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880584.0,9.0,154.0,805.0,Laharpur,1234504857.7405689,7893.4735638162365,157869.47127632474,23680.420691448708,1478.4475985027811,497.2888345204229,161060.0,168953.0,10.8,2.0,9.23,18.56,168953.0,2,5,5,5,2021-2022,0.0,0.7921376243443939,5
09-192-00973,Mau,2021_04,0.0,0.0,0.0,474.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938893.0,9.0,192.0,973.0,Maunath Bhanjan,644828157.8914212,15623.379702360737,312467.5940472147,46870.13910708221,2926.2590182521653,984.2729212487264,98903.0,114526.0,11.6,3.0,11.54,8.96,114526.0,2,5,5,4,2021-2022,0.0,0.7788517290513102,5
09-195-00990,Ghazipur,2021_04,0.0,0.0,0.0,775.0,0.18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059902.0,9.0,195.0,990.0,Mohammadabad,1076911387.0565395,3926.513008449389,78530.26016898778,11779.539025348167,735.4358864825705,247.3703195323115,143166.0,147093.0,11.1,2.0,12.29,9.93,147093.0,2,5,5,4,2021-2022,0.0,0.7788517290513102,5
09-183-00931,Gonda,2021_04,0.0,0.0,0.0,658.0,0.21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754011.0,9.0,183.0,931.0,Mankapur,913935308.8770312,2519.4212938391647,50388.425876783294,7558.263881517494,471.8876083360755,158.72354151186738,153912.0,156431.0,10.2,2.0,10.57,12.32,156431.0,2,5,5,4,2021-2022,0.0,0.7788517290513102,5
09-183-00930,Gonda,2021_04,0.0,0.0,0.0,961.0,0.21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843488.0,9.0,183.0,930.0,Tarabganj,1343876222.453024,3301.251910665761,66025.03821331522,9903.755731997284,618.324482867697,207.97887037194295,158749.0,162050.0,11.0,2.0,8.11,11.2,162050.0,2,5,5,4,2021-2022,0.0,0.7788517290513102,5
09-185-00938,Basti,2021_04,0.0,0.0,0.0,1143.0,0.35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055829.0,9.0,185.0,938.0,Harraiya,1584605434.593428,1620.8703215225885,32417.40643045177,4862.610964567765,303.58901122118084,102.11483025592308,209780.0,211401.0,10.9,2.0,7.94,7.37,211401.0,2,5,5,3,2021-2022,0.0,0.7520029348559781,5
09-182-00927,Balrampur,2021_04,0.0,0.0,0.0,666.0,0.09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854498.0,9.0,182.0,927.0,Utraula,936309549.0117918,7151.058084239131,143021.16168478262,21453.174252717392,1339.3931791779892,450.51665930706525,136984.0,144135.0,10.9,2.0,10.19,6.6,144135.0,2,5,5,3,2021-2022,0.0,0.7520029348559781,5
09-177-00905,Ayodhya,2021_04,0.0,0.0,0.0,442.0,0.11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914665.0,9.0,177.0,905.0,Faizabad,614492202.0906429,36769.31024966032,735386.2049932065,110307.93074898096,6886.891809761379,2316.4665457286005,73735.0,110504.0,14.0,3.0,15.7,9.91,110504.0,2,5,5,3,2021-2022,0.0,0.7520029348559781,5
09-177-00903,Ayodhya,2021_04,0.0,0.0,0.0,575.0,0.13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586438.0,9.0,177.0,903.0,Milkipur,788321189.1052017,379.7753375509511,7595.506751019022,1139.3260126528537,71.13192072329315,23.92584626570992,107202.0,107582.0,11.0,2.0,10.48,12.97,107582.0,1,5,5,5,2021-2022,0.0,0.7400708341095308,5
09-192-00972,Mau,2021_04,0.0,0.0,0.0,431.0,0.07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498514.0,9.0,192.0,972.0,Madhuban,586828898.0523095,3403.8225190535836,68076.45038107167,10211.467557160751,637.5359578187362,214.44081870037576,72190.0,75594.0,10.8,2.0,11.14,9.66,75594.0,1,5,5,5,2021-2022,0.0,0.7400708341095308,5
09-184-00936,Siddharth Nagar,2021_04,0.0,0.0,0.0,464.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668771.0,9.0,184.0,936.0,Domariyaganj,641891789.9889474,3100.5240000849185,62010.48000169837,9301.572000254757,580.7281452159052,195.33301200534987,98168.0,101269.0,11.3,2.0,11.81,12.69,101269.0,1,5,5,5,2021-2022,0.0,0.7400708341095308,5
