object-id,block-area,district,timeperiod,sdrf-sanctions-awarded-value,total-tender-awarded-value,ridf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,id,max-rain,mean-rain,count,sum-rain,block-lgd,dtname,dtcode11,tehsil,mean-daily-runoff,sum-runoff,peak-runoff,count-bhuvan-pixels,count-inundated-pixels,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,year,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,block-name,schools-count,rail-length,rail-count,road-length,road-count,health-centers-count,elevation-mean,slope-mean,net-sown-area-in-hac,avg-electricity,avg-tele,block-piped-hhds-pct,block-nosanitation-hhds-pct,total-hhd,drainage-density,distance-from-river,distance-from-sea,min-distance-from-sea,no-of-person-evacuated,no-of-persons-rescued,population-affected,total-livestock-lost,house-damage-total,cultivated-area-affected-in-hectare,crop-loss-total-in-hact,population-affected-in-cyclone-fani,no-of-person-evacuated-in-cyclone-fani,house-damage-total--in-cyclone-fani,cultivated-area-affected-in-hectare-in-cyclone-fani,total-livestock-affected-in-cyclone-fani,total-livestock-lost-in-cyclone-fani,population-affected-in-cyclone-bulbul,no-of-persons-evacuated-in-cyclone-bulbul,house-damage-total--in-cyclone-bulbul,cultivated-area-affected-in-hectare-in-cyclone-bulbul,total-livestock-lost-in-cyclone-bulbul,total-no-of-death-of-humans-in-flood-and-cyclone,exposure,flood-hazard,government-response,vulnerability,financial-year,total-tender-awarded-value-fy-cumsum,preparedness-measures-tenders-awarded-value-fy-cumsum,immediate-measures-tenders-awarded-value-fy-cumsum,others-tenders-awarded-value-fy-cumsum,sdrf-sanctions-awarded-value-fy-cumsum,topsis-score,risk-score,Unnamed: 0,level_0,index
21-399-03482,1004.0,Malkangiri,2021_04,8931251,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.15,857.0,126.98,3482.0,Malkangiri,399.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7017.0,15119.0,165495.0,KORUKONDA,284,0.0,0,211172.0,49,36.0,281.0,7.0,13394.72,8.5,3.0,4.89,30.36,21907,0.00014658,2725.323363,74.234,56.991,3195.0,0.0,40279,7.0,897.0,1145.0,0.0,4.557,1.0,2050.0,1020.89,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0,3,4,2,5,2021-2022,0.0,0.0,0.0,0.0,8931251.0,0.7884294083938341,5,,,
21-378-03326,601.0,Bhadrak,2021_04,457603426,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,517.0,26.3,3326.0,Bhadrak,378.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,18372.0,18093.0,297642.0,CHANDABALI,321,23818.0,5,178504.0,31,40.0,2.0,2.0,22363.95,9.1,3.0,17.94,24.77,45916,0.00022155,2891.42226,6.829,0.0,242.0,0.0,717,0.0,142.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,4,4,1,4,2021-2022,0.0,0.0,0.0,0.0,457603426.0,0.7105207048986406,5,,,
21-375-03455,881.0,Kendujhar,2021_04,46110192,7056275.72,0.0,0.0,0.0,0.0,0.0,0.1,0.08,770.0,59.0,3455.0,Kendujhar,375.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,4958.0,7760.0,103045.0,TELKOI,241,0.0,0,108555.0,11,31.0,211.0,7.0,13187.27,6.9,3.0,11.8,8.51,19276,0.00032047,1294.077844,33.003,16.28,0.0,0.0,6050,0.0,104.0,0.0,0.0,2.075,1.0,2283.0,646.91,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,2,4,2,5,2021-2022,7056275.72,0.0,0.0,0.0,46110192.0,0.7072901753494003,5,,,
21-399-03484,597.0,Malkangiri,2021_04,8931251,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,514.0,72.06,3484.0,Malkangiri,399.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5777.0,12354.0,118941.0,MALKANGIRI,204,0.0,0,98742.0,83,21.0,266.0,6.0,26368.884,10.6,3.0,13.24,14.62,31623,0.00012167,3051.473582,88.042,71.086,3195.0,0.0,40279,7.0,897.0,1145.0,0.0,4.557,1.0,2050.0,1020.89,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0,2,4,2,5,2021-2022,0.0,0.0,0.0,0.0,8931251.0,0.7072901753494003,5,,,
21-375-03443,568.0,Kendujhar,2021_04,46110192,3682534.0,0.0,0.0,0.0,1983261.0,0.0,0.07,0.06,489.0,31.4,3443.0,Kendujhar,375.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9452.0,14837.0,187370.0,ANANDAPUR,230,0.0,0,48296.0,6,22.0,147.0,5.0,28642.19,8.5,3.0,10.61,9.86,48640,0.00028348,1412.258559,44.462,24.472,0.0,0.0,6050,0.0,104.0,0.0,0.0,2.075,1.0,2283.0,646.91,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,2,4,2,5,2021-2022,3682534.0,0.0,0.0,1983261.0,46110192.0,0.7072901753494003,5,,,
21-384-03279,954.0,Anugul,2021_04,45128652,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,832.0,22.76,3279.0,Anugul,384.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,17081.0,19434.0,260396.0,CHHENDIPADA,274,28037.0,4,113369.0,11,34.0,193.0,5.0,42163.5899,9.5,3.0,6.21,15.63,57823,0.00013995,2935.425632,24.989,7.77,0.0,0.0,6296,5.0,1178.0,18.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0,4,4,2,3,2021-2022,0.0,0.0,0.0,0.0,45128652.0,0.6920885465826824,5,,,
21-375-03448,1014.0,Kendujhar,2021_04,46110192,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,882.0,70.41,3448.0,Kendujhar,375.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,7388.0,11703.0,149662.0,HARICHADANPUR,272,49590.0,8,164137.0,21,44.0,396.0,7.0,13786.19,8.2,2.0,19.12,28.07,31698,0.00031254,1174.739361,39.898,21.422,0.0,0.0,6050,0.0,104.0,0.0,0.0,2.075,1.0,2283.0,646.91,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,4,3,2,4,2021-2022,0.0,0.0,0.0,0.0,46110192.0,0.6790938658401147,5,,,
21-378-03322,500.0,Bhadrak,2021_04,457603426,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,431.0,16.1,3322.0,Bhadrak,378.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,17962.0,17892.0,281175.0,BASUDEVPUR,367,0.0,0,159054.0,44,37.0,3.0,2.0,13386.17,6.9,3.0,9.08,15.06,53800,9.01e-05,4312.593096,7.289,0.0,242.0,0.0,717,0.0,142.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,3,4,1,4,2021-2022,0.0,0.0,0.0,0.0,457603426.0,0.6604175614307124,4,,,
21-379-03438,523.0,Kendrapara,2021_04,481658531,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,455.0,23.31,3438.0,Kendrapara,379.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,34341.0,24659.0,285340.0,MAHAKALAPADA,332,12048.0,2,138485.0,17,41.0,2.0,2.0,13238.9,10.3,3.0,13.48,17.28,44033,0.00021186,2203.336599,1.822,0.0,1117.0,0.0,889117,0.0,147.0,1815.66,0.0,15.23,0.0,601.0,277.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0,3,4,1,4,2021-2022,0.0,0.0,0.0,0.0,481658531.0,0.6604175614307124,4,,,
21-399-03480,1205.0,Malkangiri,2021_04,8931251,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,1026.0,111.67,3480.0,Malkangiri,399.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6500.0,13866.0,132719.0,KALIMELA,244,0.0,0,81311.0,18,34.0,238.0,9.0,16768.067,10.6,2.0,16.59,14.28,36229,0.00014065,2721.758024,45.851,17.614,3195.0,0.0,40279,7.0,897.0,1145.0,0.0,4.557,1.0,2050.0,1020.89,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0,2,4,2,4,2021-2022,0.0,0.0,0.0,0.0,8931251.0,0.6602252987959865,4,,,
