,object-id,tehsil-area,district,timeperiod,total-tender-awarded-value,immediate-measures-tenders-awarded-value,objectid,max-rain,mean-rain,sum-rain,tehsil,mean-daily-runoff,sum-runoff,peak-runoff,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,year,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,schools-count,rail-length,rail-count,road-length,elevation-mean,slope-mean,dtcode11,net-sown-area-in-hac,avg-electricity,avg-tele,tehsil-piped-hhds-pct,tehsil-nosanitation-hhds-pct,total-hhd,drainage-density,distance-from-river,natural-vulnerability-index,social-vulnerability-index,composite-vulnerability-index,human-vulnerability-index,financial-vulnerability-index,physical-vulnerability-index,exposure,flood-hazard,government-response,vulnerability,topsis-score,risk-score
0,02-024-02122,308576107.2,KANGRA,2021_04,0.0,0.0,2122.0,0.2,0.18,54.59,JAWALI,0.47,176.37,26.1,0.0,0.0,0.0,0.0,,1.01,10000.0,7286.0,120689.0,233.0,27966.0,19.0,631357.0,567.0,9.0,24.0,6597.25529,12.5,3.0,57.89,4.35,32313.0,0.0005023,1037.131372,2.9265255497128666,4.924813507834568,3.5955641413564003,1.836772966100921,4.29297506617186,3.095490139008776,3,4,5,4,0.718795094252017,5
1,02-030-02105,174245597.62,BILASPUR,2021_04,0.0,0.0,2105.0,0.21,0.13,20.89,BILASPUR,0.15,24.0,3.25,0.0,0.0,0.0,0.0,,0.98,8717.0,6314.0,105287.0,195.0,0.0,0.0,531026.0,754.0,20.0,30.0,5332.73,12.7,2.0,44.19,8.08,23767.0,0.00042767,887.7542739,3.756698366227262,4.7949233787427685,3.119641872524239,1.7482281256866352,3.558843196223962,2.258581561908974,2,4,5,4,0.6686574078781784,5
2,02-030-02109,270882848.92,BILASPUR,2021_04,0.0,0.0,2109.0,0.13,0.11,29.44,NAINA DEVI,0.25,62.42,4.64,0.0,0.0,0.0,0.0,,0.97,4260.0,3119.0,75441.0,166.0,4362.0,2.0,561782.0,584.0,15.0,30.0,3774.261,12.8,2.0,37.21,2.68,9589.0,0.00049973,1033.631922,3.970941498843975,4.80539925433394,3.1031800726828864,1.7577697313262055,3.4444183662288714,2.229107449569765,2,4,5,4,0.6686574078781784,5
3,02-031-00060,166150941.73,SOLAN,2021_04,0.0,0.0,60.0,0.19,0.13,19.58,KASAULI,0.07,16.21,2.96,0.0,0.0,0.0,0.0,,0.87,3141.0,3806.0,90410.0,111.0,31235.0,36.0,527952.0,1227.0,23.0,31.0,1923.0642,14.7,3.0,43.81,6.32,13894.0,0.00045105,1347.96329,3.54542740140208,4.644908078149743,3.095511655702403,1.6831017229458989,3.577958459744764,2.5003425818551075,2,4,5,4,0.6686574078781784,5
4,02-032-00050,290790866.36,SIRMAUR,2021_04,0.0,0.0,50.0,0.1,0.06,17.02,NAHAN,0.05,19.26,1.28,0.0,0.0,0.0,0.0,,0.9,3990.0,5306.0,67271.0,194.0,0.0,0.0,599322.0,702.0,16.0,32.0,10571.201,12.7,3.0,49.74,12.61,15978.0,0.00057395,1110.902686,2.99153311466786,4.9919911168751145,3.173801142659658,2.019806628148733,3.3850104284552662,3.1014378930945945,2,4,5,4,0.6686574078781784,5
5,02-024-02114,337364531.77,KANGRA,2021_04,0.0,0.0,2114.0,0.22,0.2,65.83,DHARMSHALA,0.92,342.36,37.62,0.0,0.0,0.0,0.0,,1.01,10527.0,7669.0,134289.0,218.0,0.0,0.0,556485.0,2021.0,26.0,24.0,2581.33395,16.3,3.0,39.28,6.06,35739.0,0.00057675,1332.184918,3.2364589098474656,4.9734298760408855,3.460567183405282,1.960440804039524,4.17704152427313,2.650940677016445,2,4,5,4,0.6686574078781784,5
6,02-029-00065,332772257.39,UNA,2021_04,0.0,0.0,65.0,0.13,0.09,27.13,AMB,0.21,84.99,4.63,0.0,0.0,0.0,0.0,,0.98,8912.0,6753.0,109286.0,178.0,16684.0,6.0,726977.0,604.0,8.0,29.0,7408.69,11.8,3.0,63.22,4.45,27119.0,0.00063466,936.0087271,3.980347594006448,4.530205720536319,3.087917441661979,1.6968629194189189,3.381697709613214,2.4547200540524376,3,4,5,3,0.6557876467234011,5
7,02-024-02113,538859869.98,KANGRA,2021_04,0.0,0.0,2113.0,0.2,0.14,72.35,DERA GOPIPUR,0.2,130.15,4.25,0.0,0.0,0.0,0.0,,1.01,11991.0,8734.0,141494.0,209.0,18654.0,16.0,721538.0,494.0,5.0,24.0,20512.328,12.3,3.0,53.66,5.76,32833.0,0.00089835,946.17724,3.369963389459774,4.713300632166893,3.190671070044014,1.700124484494702,3.577143944988533,2.558917448323946,3,4,5,3,0.6557876467234011,5
8,02-030-02108,105890400.88,BILASPUR,2021_04,0.0,0.0,2108.0,0.21,0.14,14.29,NAMHOL,0.25,45.85,4.39,0.0,0.0,0.0,0.0,,0.97,2534.0,1922.0,45974.0,110.0,0.0,0.0,221420.0,1003.0,20.0,30.0,1850.5,13.9,3.0,37.02,5.2,6592.0,0.00055777,860.1842856,3.383070474484435,4.880514873337339,3.2108894896532303,1.7623931934720032,3.8562500138004494,2.431786868742337,1,4,5,5,0.6533130487954252,5
9,02-027-00033,314207089.89,MANDI,2021_04,0.0,0.0,33.0,0.24,0.22,66.5,THUNAG,0.9,306.47,23.99,0.0,0.0,0.0,0.0,,1.0,2482.0,2067.0,33873.0,180.0,0.0,0.0,220441.0,2367.0,29.0,27.0,4392.94,11.5,2.0,51.56,4.6,14732.0,0.00048013,1125.620274,4.033491814684812,4.800572032129271,3.389446567374888,1.8088350035602287,3.520386815088364,2.891804260305856,1,4,5,5,0.6533130487954252,5
10,02-028-02854,157633433.65,HAMIRPUR,2021_04,0.0,0.0,2854.0,0.13,0.13,19.43,BARSAR,0.08,14.69,2.21,0.0,0.0,0.0,0.0,,1.1,5926.0,3465.0,65031.0,126.0,0.0,0.0,394058.0,810.0,10.0,28.0,4366.5706,12.1,2.0,57.78,10.56,20803.0,0.00048746,1102.286444,4.1449462437238696,4.87720641765075,3.1978040841779927,1.7855189885697385,3.38874301968318,2.519532384358333,1,4,5,5,0.6533130487954252,5
11,02-027-00023,183096179.98,MANDI,2021_04,0.0,0.0,23.0,0.24,0.16,26.86,DHARAMPUR,0.18,39.28,4.02,0.0,0.0,0.0,0.0,,1.0,3528.0,2932.0,53881.0,194.0,0.0,0.0,220012.0,975.0,21.0,27.0,2852.76,11.9,2.0,50.78,9.16,18426.0,0.00054331,1354.147779,3.74854452330467,4.7291836959587785,3.273216967252403,1.7240701639290512,4.014238338029656,2.331977375289816,1,4,5,5,0.6533130487954252,5
12,02-023-00008,248886185.18,CHAMBA,2021_04,0.0,0.0,8.0,0.2,0.2,47.59,SIHUNTA,0.48,162.76,27.44,0.0,0.0,0.0,0.0,,0.98,1426.0,1810.0,28726.0,141.0,0.0,0.0,258019.0,1481.0,25.0,23.0,2208.46,12.0,2.0,49.17,5.77,13561.0,0.00054163,1010.725249,3.0467647730288183,4.965191995812505,3.3383473762853577,1.776330606246053,4.164268254462072,2.396122995755038,1,4,5,4,0.6216428394772754,4
13,02-032-00051,183505072.77,SIRMAUR,2021_04,0.0,0.0,51.0,0.13,0.12,21.03,NOHRA,0.22,47.49,4.61,0.0,0.0,0.0,0.0,,0.9,959.0,1331.0,26823.0,104.0,0.0,0.0,269713.0,1792.0,29.0,32.0,9884.13,11.5,2.0,34.82,13.23,5293.0,0.00048168,1074.129775,3.810519468950672,4.854452343815186,3.210386357693169,1.766866648244049,3.5354936778077093,2.270087419180942,1,4,5,4,0.6216428394772754,4
14,02-027-00028,262340272.6,MANDI,2021_04,0.0,0.0,28.0,0.21,0.2,50.77,NIHRI,0.27,75.9,5.0,0.0,0.0,0.0,0.0,,1.0,717.0,596.0,13712.0,115.0,0.0,0.0,341592.0,1681.0,29.0,27.0,2848.04,11.4,2.0,40.03,4.59,8437.0,0.00045478,947.8617042,3.834043191469833,4.897900370799197,3.1675788322418383,1.829834638074584,3.570041852136214,2.2599902751775294,1,4,5,4,0.6216428394772754,4
15,02-024-02117,72166108.61,KANGRA,2021_04,0.0,0.0,2117.0,0.2,0.18,12.16,HARCHAKIAN,1.02,63.28,28.75,0.0,0.0,0.0,0.0,,1.01,617.0,449.0,13213.0,53.0,0.0,0.0,164521.0,606.0,11.0,24.0,369.41,12.4,2.0,52.98,1.11,3276.0,0.00059523,1040.789741,2.9871012254121405,4.916647414268441,3.5892436774964933,1.8463458700458664,4.223776398120486,3.1199429855198546,1,4,5,4,0.6216428394772754,4
16,02-031-00061,113908290.54,SOLAN,2021_04,0.0,0.0,61.0,0.19,0.18,20.28,KRISHANGARH,0.2,30.88,4.8,0.0,0.0,0.0,0.0,,0.87,627.0,762.0,21966.0,76.0,0.0,0.0,338012.0,1035.0,20.0,31.0,1905.71,13.0,3.0,57.15,23.56,9310.0,0.00046012,1328.856339,3.488580122045817,4.606470571210614,3.100268503473348,1.7004138704061025,3.647289080224264,2.45330840615112,1,4,5,4,0.6216428394772754,4
17,02-024-02130,244373015.14,KANGRA,2021_04,0.0,0.0,2130.0,0.19,0.19,44.63,SHAHPUR,0.97,240.7,27.17,0.0,0.0,0.0,0.0,,1.01,5219.0,3804.0,76027.0,134.0,0.0,0.0,454404.0,1397.0,20.0,24.0,3962.97,11.7,3.0,45.42,13.56,23807.0,0.00054721,946.4996794,2.8596917559187167,4.979222326201604,3.5734759632763407,1.9380455260271887,4.438897518871914,2.9261711752287187,1,4,5,4,0.6216428394772754,4
18,02-024-02121,122113357.67,KANGRA,2021_04,0.0,0.0,2121.0,0.17,0.13,15.4,JAWALAMUKHI,0.2,36.87,3.19,0.0,0.0,0.0,0.0,,1.01,3952.0,2862.0,61833.0,103.0,0.0,0.0,280543.0,543.0,8.0,24.0,2483.44,13.9,3.0,49.67,6.57,15910.0,0.00049337,1132.971065,4.174477201597253,4.581839421413485,3.1227151999827223,1.6150442272572338,3.028105447003424,2.4937613331325847,1,4,5,4,0.6216428394772754,4
19,02-024-02111,134040748.53,KANGRA,2021_04,0.0,0.0,2111.0,0.21,0.18,22.43,BAROH,0.19,29.22,3.01,0.0,0.0,0.0,0.0,,1.01,3319.0,2413.0,44068.0,71.0,0.0,0.0,217044.0,732.0,13.0,24.0,1696.13,12.6,2.0,60.42,4.69,7430.0,0.00059356,1048.287328,3.610220747252885,4.676747939508233,3.199879036658816,1.6937021439953144,3.183454152204404,2.773747632819204,1,4,5,4,0.6216428394772754,4
20,02-031-00058,260283767.61,SOLAN,2021_04,2057800.0,0.0,58.0,0.19,0.11,25.87,BADDI,0.1,31.07,2.76,0.0,0.0,0.0,0.0,,0.87,6884.0,8324.0,127965.0,175.0,0.0,0.0,797217.0,596.0,12.0,31.0,4565.9,15.4,3.0,39.52,4.72,14308.0,0.00052152,1174.689475,3.512697048662474,4.707659071447687,3.105883258135125,1.6580180755981802,3.659307884447707,2.340257315372961,2,4,2,4,0.6188915742572846,4
21,02-024-02110,292828867.34,KANGRA,2021_04,0.0,0.0,2110.0,0.32,0.25,71.21,BAIJNATH,2.09,775.96,58.32,0.0,0.0,0.0,0.0,,1.01,11610.0,8865.0,103516.0,211.0,7833.0,6.0,334351.0,1744.0,23.0,24.0,2883.604,13.1,3.0,51.57,7.42,32667.0,0.00050871,1026.762693,3.5514494385499056,4.578258874827669,2.9602736147910544,1.6445981360677409,2.9390769469068694,2.729992888486399,2,4,5,3,0.6151978778641423,4
22,02-028-02859,191826400.84,HAMIRPUR,2021_04,0.0,0.0,2859.0,0.13,0.09,16.79,NADAUN,0.16,33.87,3.27,0.0,0.0,0.0,0.0,,1.1,6703.0,3913.0,119487.0,177.0,0.0,0.0,433881.0,571.0,7.0,28.0,3485.887,12.9,3.0,37.92,5.65,20020.0,0.00057283,847.1110349,3.9054109152343135,4.659942191544258,3.176754332137236,1.6260856219965731,3.141441025270146,2.951841896703058,2,4,5,3,0.6151978778641423,4
23,02-027-00032,256419176.16,MANDI,2021_04,0.0,0.0,32.0,0.21,0.17,42.39,SUNDAR NAGAR,0.23,87.42,5.08,0.0,0.0,0.0,0.0,,1.0,6742.0,5498.0,123478.0,230.0,0.0,0.0,592195.0,1090.0,23.0,27.0,5407.97,12.8,3.0,41.22,5.28,31801.0,0.00057919,1212.547943,4.004920134099692,4.887949384487592,3.1407573514043405,1.8309528607986016,3.5045093565630667,2.208424697682096,2,4,5,3,0.6151978778641423,4
24,02-030-02106,194902321.69,BILASPUR,2021_04,0.0,0.0,2106.0,0.13,0.12,22.25,GHUMARWIN,0.25,61.76,6.62,0.0,0.0,0.0,0.0,,0.98,6409.0,4645.0,79304.0,210.0,0.0,0.0,682468.0,757.0,14.0,30.0,5748.9800000000005,12.2,3.0,87.9,3.28,24040.0,0.00056009,868.1341172,4.068298607425725,4.785038445045414,3.1819009444256223,1.7994248202436174,3.3162678036869453,2.3298218332572813,2,4,5,3,0.6151978778641423,4
25,02-027-00027,84657885.56,MANDI,2021_04,0.0,0.0,27.0,0.24,0.24,19.51,LAD BHAROL,2.88,267.94,49.55,0.0,0.0,0.0,0.0,,1.0,3522.0,2923.0,48186.0,75.0,0.0,0.0,140946.0,962.0,20.0,27.0,2816.11215,11.8,2.0,72.2,2.92,10004.0,0.00062722,1090.025042,3.5479298266243315,4.612336878716476,3.0787838701346204,1.7494810165279333,2.85371851738571,3.0719463392398563,1,5,5,2,0.5988230477609049,4
26,02-024-02123,167925686.98,KANGRA,2021_04,7795723.72,0.0,2123.0,0.19,0.17,28.86,KANGRA,1.14,247.89,35.1,0.0,0.0,0.0,0.0,,1.01,5765.0,4193.0,74639.0,142.0,17282.0,18.0,561827.0,689.0,11.0,24.0,5056.27,12.3,3.0,57.99,2.32,30132.0,0.0005479,1063.474164,3.336472463912913,4.979154860625857,3.6194028084811256,1.9312639502053683,3.937806143742245,3.385164548476284,2,4,1,4,0.5964463250759585,4
27,02-024-02118,327440454.85,KANGRA,2021_04,0.0,0.0,2118.0,0.2,0.1,29.8,INDORA,0.19,90.28,4.93,0.0,0.0,0.0,0.0,,0.99,18317.0,13463.0,161054.0,133.0,11460.0,3.0,882280.0,344.0,5.0,24.0,9487.28,11.4,3.0,57.8,4.11,21061.0,0.00056354,865.5547744,3.1651281001146536,4.610912867871224,3.1654134998278307,1.7741278994518777,3.5766908922982936,2.6672149835038264,3,4,5,2,0.5893579536814709,4
