object-id,district,timeperiod,total-tender-awarded-value,object-idid,stname,dtname,st-area-sh,st-length-,remarks,dist-lgd,state-lgd,subdt-lgd,ac-no,st-length(shape),max-rain,mean-rain,count,sum-rain,count-bhuvan-pixels,count-inundated-pixels,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,sum-population,sdtname,st-area(shape),sub-district-code,sdtcode,urban-hhd,urban-electricity,urban-tele,urban-hhd-pipe,urban-no-sanitation,rural-hhd,total-hhd,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,exposure,flood-hazard,government-response,vulnerability,financial-year,total-tender-awarded-value-fy-cumsum,topsis-score,risk-score
10-209-01116,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.0,53.84,0.0,0.0,0.0,0.0,0.0,0.0,698481.0,Araria,506918787.2643526,1116.0,1116.0,0.0,0.0,0.0,0.0,0.0,163887.0,163887.0,10.7,2.0,33.49,25.07,4,5,5,4,2021-2022,0.0,0.8888577721765146,5
10-209-01115,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.0,51.09,0.0,0.0,0.0,0.0,0.0,0.0,533387.0,Raniganj,576910744.770993,1115.0,1115.0,0.0,0.0,0.0,0.0,0.0,147226.0,147226.0,10.9,2.0,46.54,20.37,3,5,5,4,2021-2022,0.0,0.8275542780159998,5
10-209-01120,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.0,32.14,0.0,0.0,0.0,0.0,0.0,0.0,473826.0,Jokihat,341005127.7602247,1120.0,1120.0,0.0,0.0,0.0,0.0,0.0,110010.0,110010.0,8.7,2.0,28.3,12.61,3,5,5,4,2021-2022,0.0,0.8275542780159998,5
10-209-01113,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.0,49.42,0.0,0.0,0.0,0.0,0.0,0.0,641936.0,Forbesganj,546946456.996027,1113.0,1113.0,22328.47092013889,446569.4184027778,66985.41276041667,4182.122603342014,1406.69366796875,131314.0,153642.0,12.2,2.0,44.03,18.76,3,5,5,3,2021-2022,0.0,0.7933568647313576,5
10-208-01105,Supaul,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,257279.0,Raghopur,255841046.48838165,1105.0,1105.0,0.0,0.0,0.0,0.0,0.0,47526.0,47526.0,11.5,2.0,61.24,9.79,2,5,5,4,2021-2022,0.0,0.7682256946197297,5
10-209-01119,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.0,36.29,0.0,0.0,0.0,0.0,0.0,0.0,263246.0,Palasi,306240761.34804773,1119.0,1119.0,0.0,0.0,0.0,0.0,0.0,66807.0,66807.0,11.1,2.0,56.32,12.28,2,5,5,4,2021-2022,0.0,0.7682256946197297,5
10-209-01112,Araria,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.0,47.75,0.0,0.0,0.0,0.0,0.0,0.0,432390.0,Narpatganj,482872068.7863751,1112.0,1112.0,0.0,0.0,0.0,0.0,0.0,101449.0,101449.0,10.7,2.0,50.27,19.89,2,5,5,4,2021-2022,0.0,0.7682256946197297,5
10-208-01111,Supaul,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.0,39.87,0.0,0.0,0.0,0.0,0.0,0.0,425499.0,Tribeniganj,402291551.99740016,1111.0,1111.0,0.0,0.0,0.0,0.0,0.0,91137.0,91137.0,11.7,2.0,61.01,17.84,2,5,5,4,2021-2022,0.0,0.7682256946197297,5
10-207-01086,Madhubani,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.0,14.11,0.0,0.0,0.0,0.0,0.0,0.0,246010.0,Laukahi,329223432.564553,1086.0,1086.0,0.0,0.0,0.0,0.0,0.0,103765.0,103765.0,11.3,2.0,34.42,15.66,2,5,5,4,2021-2022,0.0,0.7682256946197297,5
10-208-01109,Supaul,2021_04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.0,19.43,0.0,0.0,0.0,0.0,0.0,0.0,540420.0,Supaul,390920691.5720901,1109.0,1109.0,0.0,0.0,0.0,0.0,0.0,145735.0,145735.0,11.8,2.0,38.49,4.54,3,5,5,2,2021-2022,0.0,0.7524266223953883,5
