district,timeperiod,vulnerability,object-id,exposure,government-response,flood-hazard,risk-score,total-tender-awarded-value,sopd-tenders-awarded-value,sdrf-sanctions-awarded-value,sdrf-tenders-awarded-value,ridf-tenders-awarded-value,ltif-tenders-awarded-value,cidf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,total-animal-washed-away,total-animal-affected,total-house-fully-damaged,embankments-affected,roads,bridge,embankment-breached,sum-population,inundation-intensity-sum,total-hhd,human-live-lost,sum-aged-population,schools-count,health-centres-count,road-length,rail-length,rc-nosanitation-hhds-pct,drainage-density,flood-hazard,inundation-pct,inundation-intensity-mean-nonzero,avg-electricity,rc-piped-hhds-pct,mean-sexratio,topsis-score,risk-score,exposure,vulnerability,government-response,population-affected-total,crop-area,sum-rain,elevation-mean,sexratio
BAJALI,2021_04,1,33,1,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.3333333333333300,0.0,0.0,6.985801656557250,6.030572477748680,0.9377181279422650,0.27098610085157100,2.3333333333333300,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_05,1,33,1,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.0,0.0,0.0,6.985801656557250,6.03057247774868,0.9377181279422650,0.19727072169501900,1.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_06,1,33,1,5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,2.0,0.0,0.0,6.985801656557250,6.03057247774868,0.9377181279422650,0.40443727452490800,3.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_07,1,33,1,5,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,43635.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,2.0,0.1826173916954190,0.21549965438503000,6.985801656557250,6.03057247774868,0.9377181279422650,0.393011839589996,2.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_08,1,33,1,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,9351.5,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.6666666666666700,0.008960334245309630,0.5,6.985801656557250,6.030572477748680,0.9377181279422650,0.34346959049770100,1.6666666666666700,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_09,1,33,1,5,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29018567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,2.0,0.0,0.0,6.985801656557250,6.030572477748680,0.9377181279422650,0.40315350538754800,2.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_10,1,33,1,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.0,0.0,0.0,6.985801656557250,6.030572477748680,0.9377181279422650,0.18810716681457200,2.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_11,1,33,1,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.0,0.0,0.0,6.985801656557250,6.030572477748680,0.9377181279422650,0.19273255867323000,1.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2021_12,1,33,1,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318207.0191406250,0.0,77885.0,0,17053.43065185550,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.0,0.0,0.0,6.985801656557250,6.030572477748680,0.9377181279422650,0.19178469819188200,1.0,1.0,1.0,5.0,0.0,0.0,0,0,0
BAJALI,2022_01,1,33,1,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5988642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320250.35976562500,0.0,77885.0,0,17649.018798828100,813,70,258388.3704263910,28138.6670956695,9.75315395990517,0.0006813333333333330,1.3333333333333300,0.0,0.0,6.985801656557250,6.030572477748680,0.938068533438912,0.27615456405059200,1.6666666666666700,1.0,1.0,5.0,0.0,0.0,0,0,0
